timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,returns,log_returns,ma_5,ma_5_slope,ma_10,ma_10_slope,ma_20,ma_20_slope,ma_50,ma_50_slope,ma_100,ma_100_slope,ma_200,ma_200_slope,volatility_10,volatility_20,volatility_50,high_20,low_20,price_position,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_position,volume_ma_10,volume_ratio,volume_price_trend,body_size,upper_wick,lower_wick,total_range,body_ratio,buy_pressure,sell_pressure,trade_intensity,hour,day_of_week,month,quarter,gap_up,gap_down,trend_short,trend_long,vol_regime,market_regime
2024-07-11,0.3885,0.405,0.3844,0.3959,87567536.7,1720742399999,34583952.74703,122360.0,42870911.8,16933414.03839,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.007399999999999962,0.009100000000000052,0.0040999999999999925,0.020600000000000007,0.35922330097087185,0.48957539992100746,0.5104246000789926,0.0013973214802101427,0,3,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-12,0.396,0.4181,0.3932,0.4165,100898164.4,1720828799999,40899016.90779,131113.0,49031712.6,19878994.78003,0,0.05203334175296792,0.050724807494812445,,,,,,,,,,,,,,,,,,,,0.001643304843304827,0.0003286609686609654,0.0013146438746438616,,,,,,,5250068.670472342,0.020499999999999963,0.0016000000000000458,0.0028000000000000247,0.024900000000000033,0.8232931726907604,0.48595247387870216,0.5140475261212978,0.0012994587243452369,0,4,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-13,0.4166,0.4464,0.4115,0.4416,98135951.1,1720915199999,42155177.36898,146703.0,50142082.7,21546022.92208,0,0.06026410564225704,0.0585180333559883,,,,,,,,,,,,,,,,,,,,0.004914346474460429,0.0012457980698208583,0.0036685484046395708,,,,,,,5914075.324393771,0.024999999999999967,0.0048000000000000265,0.005100000000000049,0.03490000000000004,0.7163323782234939,0.5109450933929962,0.48905490660700385,0.0014948955847028011,0,5,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-14,0.4416,0.445,0.4248,0.4317,101540405.4,1721001599999,43896806.92703,126876.0,49192264.5,21260161.15152,0,-0.022418478260869623,-0.02267359240145379,,,,,,,,,,,,,,,,,,,,0.006631380841041423,0.0023229146240649713,0.004308466216976452,,,,,,,-2276381.371059789,0.00990000000000002,0.003400000000000014,0.006899999999999962,0.020199999999999996,0.4900990099009912,0.48445999704468384,0.5155400029553162,0.0012495124428565654,0,6,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-15,0.4317,0.4458,0.431,0.4449,125566239.6,1721087999999,54944419.76773,164760.0,61571472.8,26939739.45763,0,0.030576789437109175,0.03011863525056435,0.42611999999999994,,,,,,,,,,,,,,,,,,,0.008954055848009013,0.00364914286885378,0.005304912979155233,,,,,,,3839412.4686588,0.013200000000000045,0.0008999999999999564,0.0006999999999999784,0.01479999999999998,0.8918918918918961,0.49035053527238065,0.5096494647276193,0.0013121361324895486,0,0,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-16,0.4449,0.4526,0.4264,0.4381,126834589.9,1721174399999,55759694.72726,182656.0,62002045.7,27256454.04836,0,-0.015284333558102992,-0.015402342992143374,0.43456,0.008440000000000059,,,,,,,,,,,,,,,,,,0.010129324803918038,0.004945179255866632,0.005184145548051407,,,,,,,-1938582.1787368008,0.006800000000000028,0.007699999999999985,0.011699999999999988,0.0262,0.25954198473282547,0.48884177217653463,0.5111582278234653,0.0014401118822870889,0,1,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-17,0.4381,0.457,0.4353,0.4359,105320100.0,1721260799999,46949426.48429,153375.0,52063251.4,23230874.15505,0,-0.005021684546907101,-0.005034335575505868,0.43843999999999994,0.003879999999999939,,,,,,,,,,,,,,,,,,0.010759187093545675,0.006107980823402441,0.004651206270143234,,,,,,,-528884.3186487106,0.0021999999999999797,0.018900000000000028,0.0005999999999999894,0.021699999999999997,0.10138248847926175,0.49433347860474874,0.5056665213952513,0.001456274728185788,0,2,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-18,0.4359,0.4498,0.4199,0.4234,80622639.4,1721347199999,34984535.29723,133268.0,39187988.2,16995307.98382,0,-0.028676301904106416,-0.0290955005435821,0.43479999999999996,-0.0036399999999999766,,,,,,,,,,,,,,,,,,0.010132906128512642,0.006912965884424482,0.0032199402440881604,,,,,,,-2311959.147740305,0.012500000000000011,0.013899999999999968,0.003500000000000003,0.029899999999999982,0.41806020066889693,0.4860667982546848,0.5139332017453152,0.0016529848314541782,0,3,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-19,0.4235,0.4429,0.4145,0.439,80349138.6,1721433599999,34412546.25986,121684.0,38675329.1,16566620.10148,0,0.03684459140292873,0.03618205437440662,0.43626,0.0014600000000000168,,,,,,,,,,,,,,,,,,0.010771199889486605,0.007684612685436906,0.003086587204049698,,,,,,,2960431.1812942885,0.015500000000000014,0.0039000000000000146,0.009000000000000008,0.028400000000000036,0.5457746478873238,0.4813409300196282,0.5186590699803718,0.0015144406289876518,0,4,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-20,0.4389,0.4419,0.4275,0.4373,54136437.1,1721519999999,23557735.17184,73691.0,26909385.9,11708461.00926,0,-0.0038724373576309867,-0.0038799546562964444,0.43473999999999996,-0.0015200000000000213,0.43043,,,,,,,,,,,,,,,,,0.011012926341651574,0.00835027541667984,0.0026626509249717337,,,,,96097120.22,0.5633512947741068,-209639.96143508013,0.0015999999999999903,0.0030000000000000027,0.009800000000000031,0.014400000000000024,0.11111111111111026,0.4970660675414119,0.5029339324585881,0.0013612089000958653,0,5,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-21,0.4373,0.449,0.4166,0.4469,85361994.3,1721606399999,36934905.13471,111682.0,42233333.6,18274053.63919,0,0.021952892750971786,0.021715397520530824,0.4365,0.0017600000000000393,0.43553,0.005099999999999993,,,,,,,,,0.03182366212311223,,,,,,,0.011842621694867439,0.00904874467231736,0.0027938770225500783,,,,,95876565.97999999,0.8903322039903542,1873942.7058769648,0.009599999999999997,0.0020999999999999908,0.020699999999999996,0.032399999999999984,0.29629629629629634,0.4947557041787624,0.5052442958212376,0.0013083340064373357,0,6,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-22,0.447,0.4504,0.4234,0.4262,79086035.0,1721692799999,34378311.77136,109397.0,39966625.5,17361372.90366,0,-0.046319087044081386,-0.04742613627488899,0.43456,-0.0019399999999999973,0.4365,0.0009700000000000264,,,,,,,,,0.033452616556323866,,,,,,,0.010706427208699021,0.009380281179593693,0.0013261460291053278,,,,,93695353.03999999,0.8440763862241594,-3663192.939136267,0.020799999999999985,0.003400000000000014,0.0028000000000000247,0.027000000000000024,0.7703703703703692,0.5053562933076617,0.4946437066923383,0.0013832657055066675,0,0,7,3,False,False,-1,-1,low_vol,bear_stable
2024-07-23,0.4261,0.4296,0.4028,0.41,86052015.5,1721779199999,35884223.7945,104821.0,42519510.5,17725301.12934,0,-0.03801032379164726,-0.038751559966163425,0.43188000000000004,-0.00267999999999996,0.43334,-0.003159999999999996,,,,,,,,,0.028810059912199138,,,,,,,0.008401928084678767,0.009184610560610708,-0.0007826824759319412,,,,,92486959.47999999,0.930423229218693,-3270864.9720788486,0.016100000000000003,0.003500000000000003,0.007199999999999984,0.02679999999999999,0.6007462686567168,0.49411405709608275,0.5058859429039172,0.0012181120847773752,0,1,7,3,False,False,-1,-1,low_vol,bear_stable
