timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,returns,log_returns,ma_5,ma_5_slope,ma_10,ma_10_slope,ma_20,ma_20_slope,ma_50,ma_50_slope,ma_100,ma_100_slope,ma_200,ma_200_slope,volatility_10,volatility_20,volatility_50,high_20,low_20,price_position,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_position,volume_ma_10,volume_ratio,volume_price_trend,body_size,upper_wick,lower_wick,total_range,body_ratio,buy_pressure,sell_pressure,trade_intensity,hour,day_of_week,month,quarter,gap_up,gap_down,scenario_type
2024-07-11,0.3885,0.405,0.3844,0.5780861815944028,87567536.7,1720742399999,34583952.74703,122360.0,42870911.8,16933414.03839,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.007399999999999962,0.009100000000000052,0.0040999999999999925,0.020600000000000007,0.35922330097087185,0.48957539992100746,0.5104246000789926,0.0013973214802101427,0,3,7,3,False,False,bubble
2024-07-12,0.396,0.4181,0.3932,0.6683596152742979,100898164.4,1720828799999,40899016.90779,131113.0,49031712.6,19878994.78003,0,0.15615912740019922,0.14510341423719744,,,,,,,,,,,,,,,,,,,,0.007201299552812235,0.001440259910562447,0.005761039642249788,,,,,,,5250068.670472342,0.020499999999999963,0.0016000000000000458,0.0028000000000000247,0.024900000000000033,0.8232931726907604,0.48595247387870216,0.5140475261212978,0.0012994587243452369,0,4,7,3,False,False,bubble
2024-07-13,0.4166,0.4464,0.4115,0.549633921022767,98135951.1,1720915199999,42155177.36898,146703.0,50142082.7,21546022.92208,0,-0.17763744478009091,-0.19557391642200472,,,,,,,,,,,,,,,,,,,,0.00329028171739687,0.0018102642719293317,0.0014800174454675384,,,,,,,5914075.324393771,0.024999999999999967,0.0048000000000000265,0.005100000000000049,0.03490000000000004,0.7163323782234939,0.5109450933929962,0.48905490660700385,0.0014948955847028011,0,5,7,3,False,False,bubble
2024-07-14,0.4416,0.445,0.4248,0.6870855965147569,101540405.4,1721001599999,43896806.92703,126876.0,49192264.5,21260161.15152,0,0.2500785891020296,0.22320642061951726,,,,,,,,,,,,,,,,,,,,0.011153403888812585,0.0036788921953059828,0.0074745116935066025,,,,,,,-2276381.371059789,0.00990000000000002,0.003400000000000014,0.006899999999999962,0.020199999999999996,0.4900990099009912,0.48445999704468384,0.5155400029553162,0.0012495124428565654,0,6,7,3,False,False,bubble
2024-07-15,0.4317,0.4458,0.431,0.4695634418854683,125566239.6,1721087999999,54944419.76773,164760.0,61571472.8,26939739.45763,0,-0.3165866898282691,-0.3806554630906508,0.5905457512583385,,,,,,,,,,,,,,,,,,,-0.00016532929647516958,0.002910047896949752,-0.0030753771934249217,,,,,,,3839412.4686588,0.013200000000000045,0.0008999999999999564,0.0006999999999999784,0.01479999999999998,0.8918918918918961,0.49035053527238065,0.5096494647276193,0.0013121361324895486,0,0,7,3,False,False,bubble
2024-07-16,0.4449,0.4526,0.4264,0.7144263706628952,126834589.9,1721174399999,55759694.72726,182656.0,62002045.7,27256454.04836,0,0.5214693200863616,0.41967652589681353,0.617813789072037,0.027268037813698465,,,,,,,,,,,,,,,,,,0.010501826535432857,0.004428403624646374,0.006073422910786483,,,,,,,-1938582.1787368008,0.006800000000000028,0.007699999999999985,0.011699999999999988,0.0262,0.25954198473282547,0.48884177217653463,0.5111582278234653,0.0014401118822870889,0,1,7,3,False,False,bubble
2024-07-17,0.4381,0.457,0.4353,0.6276674610246025,105320100.0,1721260799999,46949426.48429,153375.0,52063251.4,23230874.15505,0,-0.12143855994256159,-0.12946943634182884,0.609675358222098,-0.008138430849939038,,,,,,,,,,,,,,,,,,0.011818667212813994,0.005906456342279898,0.0059122108705340955,,,,,,,-528884.3186487106,0.0021999999999999797,0.018900000000000028,0.0005999999999999894,0.021699999999999997,0.10138248847926175,0.49433347860474874,0.5056665213952513,0.001456274728185788,0,2,7,3,False,False,bubble
2024-07-18,0.4359,0.4498,0.4199,0.6339075027244372,80622639.4,1721347199999,34984535.29723,133268.0,39187988.2,16995307.98382,0,0.00994163643539614,0.009892543475981189,0.6265300745624319,0.016854716340333975,,,,,,,,,,,,,,,,,,0.013213475432255262,0.007367860160274972,0.00584561527198029,,,,,,,-2311959.147740305,0.012500000000000011,0.013899999999999968,0.003500000000000003,0.029899999999999982,0.41806020066889693,0.4860667982546848,0.5139332017453152,0.0016529848314541782,0,3,7,3,False,False,bubble
2024-07-19,0.4235,0.4429,0.4145,0.7497087736885232,80349138.6,1721433599999,34412546.25986,121684.0,38675329.1,16566620.10148,0,0.1826784987815886,0.16778178033593236,0.6390547099971853,0.01252463543475335,,,,,,,,,,,,,,,,,,0.02339340120322908,0.010572968368865794,0.012820432834363286,,,,,,,2960431.1812942885,0.015500000000000014,0.0039000000000000146,0.009000000000000008,0.028400000000000036,0.5457746478873238,0.4813409300196282,0.5186590699803718,0.0015144406289876518,0,4,7,3,False,False,bubble
2024-07-20,0.4389,0.4419,0.4275,0.6713728901995423,54136437.1,1721519999999,23557735.17184,73691.0,26909385.9,11708461.00926,0,-0.10448841768727468,-0.1103601236591219,0.67941659966,0.04036188966281473,0.6349811754591693,,,,,,,,,,,,,,,,,0.02485351870896524,0.013429078436885684,0.011424440272079554,,,,,96097120.22,0.5633512947741068,-209639.96143508013,0.0015999999999999903,0.0030000000000000027,0.009800000000000031,0.014400000000000024,0.11111111111111026,0.4970660675414119,0.5029339324585881,0.0013612089000958653,0,5,7,3,False,False,bubble
